cat,IPCMLULUCF
clss,TOTAL
ent,CH4
family,emi
gwp,AR4
note,nan
scen,HISTORY
srce,CRF2019
tablename,CH4AR4_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2019
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
DNK,0.19329000000000002,0.19216,0.19168,0.1912,0.19072,0.19024000000000002,0.18975,0.18925999999999998,0.1888,0.18828,0.18778,0.18729,0.1868,0.18629,0.18646,0.18582,0.18585,0.18585,0.18586,0.18588,0.18475,0.18727,0.18955,0.19,0.18825,0.19030999999999998,0.19351,0.19175999999999999
ESP,0.31369,0.42335,0.18133,0.14007999999999998,0.6509699999999999,0.23567,0.09704,0.16747,0.21145999999999998,0.13323,0.29245,0.14169,0.17035,0.24154,0.2355,0.30606,0.28578000000000003,0.12403,0.080911,0.18702,0.087616,0.1602,0.3467,0.1003,0.078519,0.18037999999999998,0.16166,0.16365
EST,0.059666,0.059489,0.062064,0.060463,0.06025,0.059936,0.060615999999999996,0.06155,0.059973,0.060917,0.06130700000000001,0.06031,0.062984,0.060707000000000004,0.061211,0.06073099999999999,0.066941,0.0609,0.06179400000000001,0.061082000000000004,0.061122,0.061204999999999996,0.061241,0.061299,0.061401,0.061791,0.061984000000000004,0.061608
FIN,1.5341,1.5165,1.5016,1.4842,1.4691,1.4529,1.4361,1.4202,1.4025,1.3761,1.3475,1.321,1.2926,1.2633,1.2337,1.2062,1.1784,1.1502,1.093,1.0358,0.97782,0.92099,0.9208200000000001,0.9215200000000001,0.9216700000000001,0.9209,0.92055,0.91994
FRA,1.0176,1.0942,1.1187,1.0994,3.532,3.7769,3.0368,2.5575,2.1885,1.9053,1.7722,1.567,1.4781,1.3968,1.291,1.2904,1.236,1.2219,1.1791,1.1994,1.2144,1.1938,1.1721,1.1184,1.1683,1.1771,1.1925,1.2157
GBR,0.015947,0.017946,0.014153,0.015184999999999999,0.014897,0.027563999999999998,0.020992,0.024390000000000002,0.019603,0.015688,0.029304000000000004,0.028347000000000004,0.028673,0.056054999999999994,0.029518,0.036128,0.031024,0.041337,0.030599,0.034307,0.034907,0.033488,0.05894099999999999,0.025039,0.031114,0.019943000000000002,0.033394,0.028367000000000003
GRC,0.062677,0.031094,0.091811,0.081945,0.07642,0.043378,0.026208,0.057790999999999995,0.15763,0.012001999999999999,0.20803000000000002,0.027939,0.0038058999999999996,0.0053468000000000005,0.013531999999999999,0.010537000000000001,0.020962,0.32127,0.04355,0.046161,0.016413999999999998,0.017811,0.043706,0.016004,0.0093971,0.010809000000000001,0.03167,0.018553
HRV,0.0012304,0.0031825,0.015149000000000001,0.034393,0.011505,0.0075447000000000005,0.016531999999999998,0.017628,0.045113,0.005911199999999999,0.09690900000000001,0.018996000000000002,0.0063949,0.039550999999999996,0.0029170999999999997,0.0027353,0.006058600000000001,0.031764,0.00958,0.0050956000000000005,0.0017601,0.018628,0.038881,0.0019277,0.00032148,0.013963999999999999,0.0089164,0.069234
HUN,0.022856,0.022232,0.020791,0.018722,0.018765999999999998,0.019358,0.020418000000000002,0.020265000000000002,0.022884,0.012969,0.025856999999999998,0.018857,0.020166999999999997,0.018379,0.013221,0.023911,0.007511199999999999,0.019989,0.012183,0.018189,0.0092148,0.023285,0.035533999999999996,0.011845,0.017311,0.018082,0.0090837,0.018965
IRL,0.46087,0.43732,0.40888,0.47281000000000006,0.4472,0.45768000000000003,0.48283999999999994,0.41336000000000006,0.39095,0.37072,0.42907,0.51225,0.38097,0.5535899999999999,0.50967,0.49938999999999995,0.43937,0.41153999999999996,0.39921,0.4024,0.6259,0.45141000000000003,0.36934,0.42408999999999997,0.4213,0.4205,0.38139,0.63727
ISL,3.72,3.7227,3.7221,3.7214,3.7203,3.7187,3.7191,3.7165,3.7128,3.7084,3.7025,3.6988,3.6936,3.6904,3.6868,3.6819,3.6781,3.6644,3.6562,3.6547,3.653,3.6513,3.6494,3.6476,3.6459,3.6442,3.6424,3.6408
ITA,1.4833,0.67127,0.7952899999999999,1.7480000000000002,0.9454100000000001,0.3462,0.40159,0.9538200000000001,1.2204,0.57517,0.93285,0.60937,0.32761999999999997,0.72534,0.42855,0.35932,0.29434,1.8342,0.49437,0.59629,0.35691,0.56988,1.2116,0.19011,0.34355,0.29075,0.3959,1.4811
JPN,0.08543200000000001,0.082388,0.07958,0.10246,0.09441000000000001,0.083113,0.10604000000000001,0.11243,0.083905,0.077074,0.079683,0.084675,0.093954,0.074021,0.083425,0.079738,0.071172,0.070675,0.09374199999999999,0.0785,0.072335,0.073934,0.069396,0.07101299999999999,0.089999,0.073159,0.067285,0.08913
KAZ,0.00575,0.01075,0.006,0.00525,0.0195,0.09175,0.039,0.37575,0.05475,0.092,0.057,0.08325,0.0655,0.152,0.09925,0.0575,0.1015,0.12375,0.018000000000000002,0.01,0.02225,0.0105,0.0095,0.001925,0.01375,0.033325,0.003475,0.003475
LTU,0.0030045000000000002,0.0027489999999999997,0.0060606,0.0038114000000000004,0.0038114000000000004,0.0038114000000000004,0.0038114000000000004,0.0038114000000000004,0.0027124000000000002,0.0037673000000000003,0.0037094999999999997,0.0029211,0.005240600000000001,0.0041078,0.003947,0.00099375,0.012098000000000001,0.00086918,0.0016096,0.0039613,0.001396,0.0023866,0.0010827999999999999,0.0008871,0.0028781999999999996,0.0013029,0.00068799,0.00030695
LVA,0.49905,0.49185,0.5696899999999999,0.49241999999999997,0.48816000000000004,0.49543999999999994,0.49531000000000003,0.49572,0.4941,0.52055,0.50532,0.46813,0.49278,0.46981000000000006,0.4617,0.43612,0.47523000000000004,0.42918999999999996,0.42468999999999996,0.4402,0.4446,0.45361999999999997,0.4646,0.47822,0.49738999999999994,0.5072800000000001,0.51957,0.5332399999999999
NLD,0.00024393,0.00024784,0.00025176,0.0002557,0.00025964,0.0002636,0.00026756,0.00027154,0.00027552,0.00027952,0.00028353,0.00028755,0.00029157,0.00029561,0.00029764,0.00029967,0.00030171,0.00030375,0.0003058,0.00030785,0.0003099,0.00031196,0.00031403,0.0003161,0.00031755,0.000319,0.00032046,0.00032193
NOR,0.14515,0.14633,0.1467,0.14615,0.1465,0.14658,0.14758,0.14837999999999998,0.14870999999999998,0.14925,0.15001,0.15067,0.15097,0.15127000000000002,0.1512,0.15165,0.15341,0.15114,0.15477,0.15144000000000002,0.15175,0.1514,0.1512,0.15113,0.15152000000000002,0.1511,0.15173,0.15116
NZL,0.09790900000000001,0.081594,0.085113,0.10367,0.10593,0.10330999999999999,0.1214,0.11076,0.13658,0.09106,0.084004,0.084078,0.085601,0.089639,0.080709,0.11558,0.11874000000000001,0.16037,0.08966299999999999,0.10304,0.10055,0.072686,0.08026699999999999,0.07975700000000001,0.06706799999999999,0.07827,0.10580999999999999,0.092934
POL,0.044057,0.044992000000000004,0.044508,0.042213,0.040938,0.045906999999999996,0.036393,0.037933999999999996,0.034337,0.037106,0.03255,0.03258,0.034724,0.03692,0.034275,0.033497000000000006,0.039081,0.029711,0.034645,0.029845,0.031654,0.031087,0.031778,0.036983999999999996,0.035203,0.033951999999999996,0.042055,0.037529
PRT,0.30034,0.40286,0.12768,0.10984000000000001,0.17437,0.37373,0.19205999999999998,0.073751,0.4503,0.16185,0.3341,0.26287,0.28936999999999996,0.94468,0.27002,0.8411799999999999,0.18739,0.071659,0.037387000000000004,0.15997,0.29531,0.15295,0.29279,0.34212,0.046868,0.14088,0.4503,1.2587
ROU,0.00042282,0.00026763,0.00069952,0.00049796,0.00029769,0.00020079,0.0002197,6.6584e-05,0.00013343,0.00036401,0.0034598,0.00096379,0.0034064,0.00072906,0.00011607,0.00016686,0.00090964,0.0025276,0.00047742,0.00093088,0.00020014,0.0018452000000000002,0.004965,0.00064687,0.00046223,0.0014764,0.00077696,0.0019898
RUS,21.1896,20.1122,20.1559,20.1457,19.3578,18.7404,21.4276,18.7024,24.6342,19.0159,20.285,19.7278,21.1388,22.8794,18.8348,22.3245,25.331999999999997,24.5548,25.4375,25.5133,22.7454,22.6787,22.5298,20.9323,22.7481,22.7246,22.8041,22.9107
SVK,0.010081999999999999,0.0083389,0.011607,0.02175,0.005858100000000001,0.0070152,0.0097675,0.0075917,0.0074479,0.048943,0.024592,0.011404000000000001,0.019089,0.037237,0.012902,0.02391,0.015093,0.024844,0.015604,0.023014,0.018209,0.021841,0.041725,0.013798,0.020536000000000002,0.023053,0.019063999999999998,0.02119
SVN,0.0015609999999999999,0.0014872,0.00095925,0.003475,0.0025280999999999997,0.00046875,0.00079734,0.0013009,0.0025497,0.0011685,0.00046762,0.00092837,0.0003066,0.0064551,0.00031879,0.00060832,0.004507,0.00047661,0.00022218,0.00055433,0.00025111,0.00076817,0.0028864999999999997,0.00024197,6.719899999999999e-05,0.00024602,0.0012285,0.00090919
SWE,0.47161000000000003,0.47133,0.47136999999999996,0.47076999999999997,0.47141000000000005,0.47234,0.47147,0.48078000000000004,0.47,0.47488,0.47526,0.47551000000000004,0.47723999999999994,0.47603999999999996,0.47196000000000005,0.47197,0.47686000000000006,0.46525,0.47188,0.45378,0.45022,0.44361999999999996,0.43306999999999995,0.43533,0.46485,0.43785,0.4382,0.43438999999999994
TUR,0.07614800000000001,0.044869,0.068448,0.086852,0.21741999999999997,0.044167000000000005,0.086663,0.037084,0.040185000000000005,0.03469,0.15985,0.045301,0.058511,0.045749,0.033602999999999994,0.019237,0.05340399999999999,0.08028400000000001,0.20521999999999999,0.032310000000000005,0.023163,0.025263999999999998,0.072576,0.078016,0.020965,0.021151,0.060177,0.05764
UKR,0.037731,0.034783,0.042020999999999996,0.047893,0.072969,0.041175,0.060513,0.026789999999999998,0.028502,0.031383999999999995,0.016249,0.025078,0.020799,0.016402,0.011621,0.015146000000000001,0.020074,0.10843,0.0414,0.034269,0.037509,0.011134999999999999,0.031372000000000004,0.008734200000000001,0.041579000000000005,0.058115999999999994,0.011926,0.028625
USA,4.9873,4.9098,5.4167,4.0439,8.2863,4.2305,7.5389,3.9611,5.1353,7.0419,11.4744,6.112,12.507,10.2056,11.0973,9.0379,10.5793,12.029000000000002,9.8022,8.5078,6.9945,8.6298,13.0128,9.9146,10.0549,16.4844,8.7591,8.7879
